"Type","loss","target","Number of trades","Number of winners","Percent of winners","Total winning","Total loss","Average profit","Number of long trades","Number of long winner","Percent of long winners","Long winning","Long loss","Average profit of long","Number of short trades","Number of short winners","Percent of short winners","Short winning","Short loss","Average profit of short","Average holding period"
"Stocks","0.01","0.01","84","30","35.714285714285715","10.105237190999377","-223.47833664141294","-2.5401559458382565","81","30","37.03703703703704","10.105237190999377","-214.7255088058237","-2.526176192775609","3","0","0.0","0.0","-8.752827835589276","-2.9176092785297585","0.5833333333333334"
"ETFs","0.01","0.01","54","8","14.814814814814813","8.070286897705508","-82.37592537855","-1.376030342237861","50","8","16.0","8.070286897705508","-77.94356190317077","-1.3974655001093055","4","0","0.0","0.0","-4.432363475379221","-1.1080908688448052","1.1481481481481481"
"Total","0.01","0.01","138","38","27.536231884057973","18.175524088704886","-305.8542620199629","-2.0846285357337537","131","38","29.00763358778626","18.175524088704886","-292.6690707089944","-2.0953705848877062","7","0","0.0","0.0","-13.185191310968499","-1.8835987587097855","0.8043478260869565"
"Stocks","0.01","0.02","84","15","17.857142857142858","9.01645222651497","-271.7428136115478","-3.1276947783932476","81","15","18.51851851851852","9.01645222651497","-262.98998577595853","-3.135475722832637","3","0","0.0","0.0","-8.752827835589276","-2.9176092785297585","1.0238095238095237"
"ETFs","0.01","0.02","54","4","7.4074074074074066","6.973248969310495","-95.08691034964826","-1.631734470006255","50","4","8.0","6.973248969310495","-90.65454687426904","-1.673625958099171","4","0","0.0","0.0","-4.432363475379221","-1.1080908688448052","2.185185185185185"
"Total","0.01","0.02","138","19","13.768115942028986","15.989701195825464","-366.82972396119595","-2.5423190055461626","131","19","14.50381679389313","15.989701195825464","-353.64453265022746","-2.577517797361847","7","0","0.0","0.0","-13.185191310968499","-1.8835987587097855","1.4782608695652173"
"Stocks","0.01","0.05","84","2","2.380952380952381","5.46792849631966","-335.3013718641283","-3.926588611521532","81","2","2.4691358024691357","5.46792849631966","-326.5485440285391","-3.9639582164471534","3","0","0.0","0.0","-8.752827835589276","-2.9176092785297585","1.2023809523809523"
"ETFs","0.01","0.05","54","2","3.7037037037037033","5.023694193751322","-98.46932978654331","-1.7304747331998516","50","2","4.0","5.023694193751322","-94.03696631116408","-1.7802654423482551","4","0","0.0","0.0","-4.432363475379221","-1.1080908688448052","3.2222222222222223"
"Total","0.01","0.05","138","4","2.898550724637681","10.491622690070983","-433.7707016506715","-3.0672397026130476","131","4","3.0534351145038165","10.491622690070983","-420.58551033970303","-3.1304876919819242","7","0","0.0","0.0","-13.185191310968499","-1.8835987587097855","1.9927536231884058"
"Stocks","0.01","0.1","84","1","1.1904761904761905","10.000000000000005","-341.9178129600187","-3.951402535238318","81","1","1.2345679012345678","10.000000000000005","-333.16498512442945","-3.9896911743756722","3","0","0.0","0.0","-8.752827835589276","-2.9176092785297585","1.3095238095238095"
"ETFs","0.01","0.1","54","0","0.0","0.0","-104.95705122810713","-1.9436490968167988","50","0","0.0","0.0","-100.5246877527279","-2.010493755054558","4","0","0.0","0.0","-4.432363475379221","-1.1080908688448052","3.240740740740741"
"Total","0.01","0.1","138","1","0.7246376811594203","10.000000000000005","-446.87486418812574","-3.1657598854212012","131","1","0.7633587786259541","10.000000000000005","-433.68967287715725","-3.2342723120393684","7","0","0.0","0.0","-13.185191310968499","-1.8835987587097855","2.0652173913043477"
"Stocks","0.02","0.01","84","37","44.047619047619044","26.240708613784605","-221.284103183447","-2.321945173448362","81","36","44.44444444444444","25.240708613784612","-213.94280613393707","-2.329655524940154","3","1","33.33333333333333","0.9999999999999951","-7.341297049509948","-2.113765683169984","0.8690476190476191"
"ETFs","0.02","0.01","54","26","48.148148148148145","39.32838823498454","-76.8276880158882","-0.6944314774241419","50","25","50.0","38.32838823498454","-70.82768801588819","-0.6499859956180729","4","1","25.0","0.9999999999999984","-6.000000000000002","-1.2500000000000009","3.037037037037037"
"Total","0.02","0.01","138","63","45.65217391304348","65.56909684876915","-298.11179119933513","-1.6850919880475794","131","61","46.56488549618321","63.56909684876915","-284.7704941498252","-1.6885602847408858","7","2","28.57142857142857","1.9999999999999936","-13.341297049509949","-1.6201852927871365","1.7173913043478262"
"Stocks","0.02","0.02","84","22","26.190476190476193","31.351618839261683","-280.86067815013837","-2.9703459441771036","81","21","25.925925925925924","29.351618839261675","-273.5193811006285","-3.014416818041566","3","1","33.33333333333333","2.0000000000000075","-7.341297049509948","-1.7804323498366468","1.5714285714285714"
"ETFs","0.02","0.02","54","22","40.74074074074074","49.291115839468475","-92.53867298698646","-0.8008806879169996","50","22","44.0","49.291115839468475","-84.53867298698647","-0.7049511429503599","4","0","0.0","0.0","-7.999999999999998","-1.9999999999999996","5.685185185185185"
"Total","0.02","0.02","138","44","31.88405797101449","80.64273467873014","-373.3993511371247","-2.121424756944888","131","43","32.82442748091603","78.64273467873014","-358.05805408761483","-2.1329413695334707","7","1","14.285714285714285","2.0000000000000075","-15.341297049509945","-1.9058995785014197","3.181159420289855"
"Stocks","0.02","0.05","84","8","9.523809523809524","38.22979737348624","-355.3005145888786","-3.774651395421338","81","7","8.641975308641975","33.22979737348623","-347.95921753936875","-3.8855483971096607","3","1","33.33333333333333","5.000000000000011","-7.341297049509948","-0.7804323498366458","2.488095238095238"
"ETFs","0.02","0.05","54","14","25.925925925925924","66.20590954825012","-116.60189484546001","-0.9332589869853684","50","14","28.000000000000004","66.20590954825012","-108.60189484546001","-0.8479197059441979","4","0","0.0","0.0","-7.999999999999998","-1.9999999999999996","10.25925925925926"
"Total","0.02","0.05","138","22","15.942028985507244","104.43570692173638","-471.9024094343385","-2.662802192120305","131","21","16.030534351145036","99.43570692173635","-456.5611123848286","-2.7261481333060478","7","1","14.285714285714285","5.000000000000011","-15.341297049509945","-1.4773281499299906","5.528985507246377"
"Stocks","0.02","0.1","84","5","5.952380952380952","43.96487480312434","-367.6050825045684","-3.852859615493381","81","4","4.938271604938271","40.460377358490604","-360.2637854550585","-3.948190223414418","3","1","33.33333333333333","3.5044974446337376","-7.341297049509948","-1.2789332016254036","3.5"
"ETFs","0.02","0.1","54","4","7.4074074074074066","40.00000000000003","-142.57104971551672","-1.8994638836206794","50","4","8.0","40.00000000000003","-134.57104971551672","-1.891420994310334","4","0","0.0","0.0","-7.999999999999998","-1.9999999999999996","23.22222222222222"
"Total","0.02","0.1","138","9","6.521739130434782","83.96487480312437","-510.176132220085","-3.088487372586671","131","8","6.106870229007633","80.46037735849063","-494.8348351705751","-3.163163800092248","7","1","14.285714285714285","3.5044974446337376","-15.341297049509945","-1.6909713721251727","11.217391304347826"
"Stocks","0.05","0.01","84","59","70.23809523809523","64.465148219882","-181.9141149085824","-1.3982019843892906","81","56","69.1358024691358","61.46514821988201","-181.9141149085824","-1.4870242801074123","3","3","100.0","2.9999999999999987","0.0","0.9999999999999996","2.7261904761904763"
"ETFs","0.05","0.01","54","44","81.48148148148148","59.578012185442994","-54.66388783458016","0.0910023027937562","50","41","82.0","56.57801218544299","-49.66388783458016","0.13828248701725657","4","3","75.0","3.000000000000009","-5.0","-0.4999999999999978","7.481481481481482"
"Total","0.05","0.01","138","103","74.63768115942028","124.043160405325","-236.57800274316253","-0.8154698720133154","131","97","74.04580152671755","118.04316040532501","-231.57800274316253","-0.8666781857850192","7","6","85.71428571428571","6.000000000000007","-5.0","0.14285714285714388","4.586956521739131"
"Stocks","0.05","0.02","84","50","59.523809523809526","97.66273721618025","-243.32865057027325","-1.7341180161201546","81","48","59.25925925925925","93.66273721618025","-238.32865057027325","-1.7859989302974444","3","2","66.66666666666666","4.000000000000004","-5.0000000000000036","-0.33333333333333304","4.785714285714286"
"ETFs","0.05","0.02","54","40","74.07407407407408","89.47720293197538","-79.37487280567844","0.18708018752401756","50","38","76.0","85.47720293197538","-69.37487280567842","0.32204660252593925","4","2","50.0","4.000000000000004","-10.000000000000012","-1.500000000000002","12.703703703703704"
"Total","0.05","0.02","138","90","65.21739130434783","187.1399401481556","-322.7035233759516","-0.9823448059985217","131","86","65.64885496183206","179.1399401481556","-307.7035233759516","-0.9814013986854656","7","4","57.14285714285714","8.000000000000009","-15.000000000000016","-1.000000000000001","7.884057971014493"
"Stocks","0.05","0.05","84","33","39.285714285714285","171.2615551428244","-358.0078441805613","-2.223170107592106","81","31","38.2716049382716","161.2615551428244","-353.0078441805613","-2.3672381362683566","3","2","66.66666666666666","10.000000000000014","-5.0000000000000036","1.6666666666666703","9.428571428571429"
"ETFs","0.05","0.05","54","27","50.0","138.73812737654484","-145.00367532107262","-0.11602866563940337","50","25","50.0","128.6354432516999","-135.0036753210726","-0.12736464138745363","4","2","50.0","10.102684124844934","-10.000000000000012","0.02567103121123049","25.314814814814813"
"Total","0.05","0.05","138","60","43.47826086956522","309.99968251936923","-503.01151950163376","-1.398636499871482","131","56","42.74809160305343","289.89699839452425","-488.01151950163376","-1.5123245886038894","7","4","57.14285714285714","20.10268412484495","-15.000000000000016","0.7289548749778475","15.644927536231885"
"Stocks","0.05","0.1","84","24","28.57142857142857","240.08647135970438","-412.75619646061534","-2.0555919654870354","81","22","27.160493827160494","226.58197391507065","-407.75619646061534","-2.2367187968585767","3","2","66.66666666666666","13.504497444633731","-5.0000000000000036","2.834832481544576","18.083333333333332"
"ETFs","0.05","0.1","54","15","27.77777777777778","157.72445822106312","-209.54879801871138","-0.9597099962527457","50","13","26.0","130.04673598286846","-199.54879801871138","-1.3900412407168585","4","2","50.0","27.67772223819466","-10.000000000000012","4.419430559548662","56.74074074074074"
"Total","0.05","0.1","138","39","28.26086956521739","397.81092958076744","-622.3049944793268","-1.6267685862214443","131","35","26.717557251908396","356.628709897939","-607.3049944793266","-1.9135594242854017","7","4","57.14285714285714","41.18221968282839","-15.000000000000016","3.7403170975469107","33.210144927536234"
"Stocks","0.1","0.01","84","71","84.52380952380952","90.85393425391838","-156.73004094859613","-0.7842393654128303","81","68","83.9506172839506","87.85393425391838","-156.73004094859613","-0.8503223048725648","3","3","100.0","2.9999999999999987","0.0","0.9999999999999996","4.428571428571429"
"ETFs","0.1","0.01","54","48","88.88888888888889","63.578012185443","-66.63733375899326","-0.056654103213893775","50","45","90.0","60.578012185442994","-56.63733375899325","0.07881356852899486","4","3","75.0","3.000000000000009","-10.000000000000012","-1.7500000000000009","9.537037037037036"
"Total","0.1","0.01","138","119","86.23188405797102","154.43194643936135","-223.36737470758936","-0.49953208890020295","131","113","86.25954198473282","148.43194643936135","-213.36737470758936","-0.49569029212387794","7","6","85.71428571428571","6.000000000000007","-10.000000000000012","-0.5714285714285722","6.427536231884058"
"Stocks","0.1","0.02","84","65","77.38095238095238","138.97796460210532","-263.18434767072927","-1.4786474174836184","81","63","77.77777777777779","134.9779646021053","-253.18434767072927","-1.4593380625756047","3","2","66.66666666666666","4.000000000000004","-10.000000000000007","-2.000000000000001","7.904761904761905"
"ETFs","0.1","0.02","54","45","83.33333333333334","101.81776706083802","-97.82996445498546","0.07384819640467713","50","43","86.0","97.81776706083802","-77.82996445498544","0.39975605211705156","4","2","50.0","4.000000000000004","-20.000000000000014","-4.000000000000003","16.25925925925926"
"Total","0.1","0.02","138","110","79.71014492753623","240.79573166294324","-361.0143121257147","-0.8711491337881989","131","106","80.91603053435115","232.7957316629432","-331.0143121257147","-0.7497601562043624","7","4","57.14285714285714","8.000000000000009","-30.00000000000002","-3.142857142857145","11.173913043478262"
"Stocks","0.1","0.05","84","51","60.71428571428571","272.77383387425556","-415.5869909081525","-1.7001566313559155","81","49","60.49382716049383","262.77383387425556","-405.5869909081525","-1.7631253954802089","3","2","66.66666666666666","10.000000000000014","-10.000000000000007","2.3684757858670005E-15","16.94047619047619"
"ETFs","0.1","0.05","54","36","66.66666666666666","183.83913773518174","-187.82996445498543","-0.0739041985148832","50","34","68.0","173.7364536103368","-167.82996445498543","0.11812978310702761","4","2","50.0","10.102684124844934","-20.000000000000014","-2.47432896878877","38.01851851851852"
"Total","0.1","0.05","138","87","63.04347826086957","456.6129716094373","-603.416955363138","-1.0637969837224686","131","83","63.358778625954194","436.51028748459237","-573.416955363138","-1.0450890677751572","7","4","57.14285714285714","20.10268412484495","-30.00000000000002","-1.413902267879296","25.18840579710145"
"Stocks","0.1","0.1","84","40","47.61904761904761","412.12219993891296","-530.0042726482762","-1.403358008444801","81","38","46.913580246913575","398.61770249427923","-520.0042726482761","-1.4985996315308259","3","2","66.66666666666666","13.504497444633731","-10.000000000000007","1.1681658148779082","34.916666666666664"
"ETFs","0.1","0.1","54","30","55.55555555555556","312.6832063280685","-251.15833757683592","1.1393494213191215","50","28","56.00000000000001","285.00548408987385","-231.15833757683586","1.0769429302607596","4","2","50.0","27.67772223819466","-20.000000000000014","1.9194305595486618","108.88888888888889"
"Total","0.1","0.1","138","70","50.72463768115942","724.8054062669813","-781.1626102251122","-0.40838553592848453","131","66","50.38167938931297","683.623186584153","-751.1626102251121","-0.515568119396634","7","4","57.14285714285714","41.18221968282839","-30.00000000000002","1.5974599546897668","63.86231884057971"
"Stocks","0.0","0.0","84","73","86.90476190476191","0.0","-72.77265207445308","-0.8663410961244414","81","70","86.41975308641975","0.0","-72.77265207445308","-0.8984278033883096","3","3","100.0","0.0","0.0","0.0","0.0"
"ETFs","0.0","0.0","54","49","90.74074074074075","0.0","-4.934248717933974","-0.09137497625803655","50","45","90.0","0.0","-4.934248717933974","-0.09868497435867947","4","4","100.0","0.0","0.0","0.0","0.0"
"Total","0.0","0.0","138","122","88.40579710144928","0.0","-77.70690079238703","-0.5630934840028046","131","115","87.78625954198473","0.0","-77.70690079238703","-0.5931824487968476","7","7","100.0","0.0","0.0","0.0","0.0"
